"x","y","Temperature","Precipitation"
144.208333333333,-35.0416666666667,16.8774585723877,354
114.375,-27.7916666666667,20.5670833587646,373
124.708333333333,-32.5416666666667,17.4833335876465,274
126.708333333333,-29.9583333333333,19.3253746032715,182
120.625,-33.5416666666667,16.510124206543,400
131.458333333333,-29.7083333333333,19.4663333892822,189
120.041666666667,-26.4583333333333,21.9977073669434,275
120.791666666667,-29.7916666666667,19.3237915039062,263
138.541666666667,-32.875,15.0143747329712,426
121.125,-33.7083333333333,16.8007507324219,518
117.041666666667,-33.4583333333333,16.1113739013672,446
145.791666666667,-31.9583333333333,18.0938339233398,349
143.958333333333,-31.4583333333333,19.494083404541,261
115.625,-32.2083333333333,18.154167175293,746
118.291666666667,-29.2916666666667,19.8995418548584,251
143.625,-34.2083333333333,17.4836673736572,287
118.958333333333,-30.4583333333333,18.8362503051758,242
121.208333333333,-25.0416666666667,22.8058757781982,246
140.125,-35.2083333333333,16.0812072753906,375
124.125,-29.5416666666667,18.8146667480469,226
122.375,-27.2916666666667,21.0634574890137,225
115.625,-29.125,20.0053749084473,380
121.125,-29.7083333333333,19.6029167175293,272
144.208333333333,-33.125,18.111083984375,365
139.708333333333,-35.375,16.2625007629395,395
143.458333333333,-35.0416666666667,16.7854175567627,329
116.291666666667,-31.2083333333333,17.6380424499512,548
135.375,-32.9583333333333,17.1693344116211,316
129.958333333333,-27.7916666666667,20.2984161376953,225
114.208333333333,-27.875,20.7064990997314,393
132.458333333333,-31.7083333333333,17.9125843048096,284
133.541666666667,-32.2916666666667,16.7678928375244,287
123.291666666667,-32.4583333333333,16.9507503509521,301
135.708333333333,-33.875,16.7924995422363,387
131.958333333333,-28.0416666666667,20.0689582824707,235
118.458333333333,-30.125,18.4521255493164,250
120.208333333333,-29.4583333333333,19.6240425109863,235
137.958333333333,-33.2083333333333,18.152904510498,373
142.291666666667,-36.7083333333333,14.6059589385986,459
116.375,-31.9583333333333,16.9603328704834,717
131.208333333333,-25.4583333333333,21.3554992675781,301
142.958333333333,-36.5416666666667,14.9075002670288,439
143.041666666667,-30.5416666666667,20.16575050354,256
140.125,-34.875,16.4669589996338,309
142.541666666667,-33.2083333333333,18.5447082519531,276
118.541666666667,-29.5416666666667,19.4233741760254,232
115.541666666667,-30.9583333333333,18.7608757019043,612
144.458333333333,-32.0416666666667,19.0389175415039,290
143.041666666667,-31.875,19.3091239929199,246
141.541666666667,-33.125,18.2789993286133,244
143.375,-36.0416666666667,15.6962919235229,382
137.791666666667,-31.625,19.6404991149902,209
144.291666666667,-33.625,17.6766242980957,294
145.041666666667,-32.7916666666667,18.5516242980957,329
115.041666666667,-29.5416666666667,20.1947498321533,496
146.208333333333,-34.4583333333333,16.6631660461426,453
117.625,-33.0416666666667,16.1198329925537,392
141.291666666667,-34.4583333333333,17.266040802002,288
140.541666666667,-33.2083333333333,17.8701248168945,252
144.291666666667,-32.2916666666667,18.9455833435059,301
124.125,-28.7083333333333,20.5223751068115,213
115.041666666667,-28.2916666666667,19.9861660003662,357
142.958333333333,-33.7916666666667,17.8642921447754,288
117.541666666667,-32.0416666666667,17.6617908477783,315
143.208333333333,-30.625,19.7350006103516,276
123.208333333333,-33.375,16.2102088928223,404
122.541666666667,-32.125,16.9346675872803,304
130.291666666667,-25.2083333333333,21.7224578857422,358
120.541666666667,-33.7083333333333,16.6698341369629,477
130.875,-31.125,17.8812923431396,186
143.208333333333,-34.4583333333333,17.15012550354,326
124.625,-31.4583333333333,18.5405826568604,201
116.541666666667,-29.7083333333333,19.4762496948242,325
117.958333333333,-31.2916666666667,18.4232082366943,310
122.958333333333,-32.0416666666667,16.8305835723877,308
